AccidentDate,Timing,State,WeatherCondition,RoadCondition,Deaths,Reason
2013-02-04,Morning,Uttar Pradesh,Rainy,Under Construction,10,Drunk Driving
2005-02-23,Night,Tripura,Clear,Under Construction,3,Weather Conditions
2014-10-08,Afternoon,Odisha,Clear,Fine,6,Poor Visibility
2015-01-14,Night,Jharkhand,Rainy,Rough,8,Road Conditions
2006-01-17,Afternoon,Kerala,Clear,Fine,2,Speeding
2019-04-07,Morning,Mizoram,Clear,Rough,2,Road Conditions
2022-07-15,Morning,Goa,Foggy,Under Construction,4,Speeding
2006-08-30,Night,Himachal Pradesh,Rainy,Fine,0,Speeding
2015-12-30,Evening,Manipur,Foggy,Under Construction,2,Reckless Driving
2021-07-14,Night,Kerala,Clear,Rough,5,Weather Conditions
2013-03-13,Afternoon,Mizoram,Foggy,Rough,6,Weather Conditions
2022-12-16,Afternoon,Bihar,Foggy,Under Construction,6,Distracted Driving
2009-03-15,Afternoon,Odisha,Rainy,Rough,1,Distracted Driving
2009-06-20,Morning,Uttarakhand,Clear,Under Construction,1,Poor Visibility
2019-06-15,Morning,Assam,Foggy,Rough,0,Speeding
2017-01-06,Morning,Kerala,Foggy,Fine,5,Poor Visibility
2018-07-12,Night,Arunachal Pradesh,Rainy,Under Construction,1,Road Conditions
2008-01-26,Morning,Himachal Pradesh,Foggy,Rough,8,Drunk Driving
2020-02-24,Morning,Mizoram,Clear,Rough,0,Weather Conditions
2015-07-20,Morning,Andhra Pradesh,Clear,Under Construction,1,Distracted Driving
2007-02-19,Afternoon,Karnataka,Rainy,Fine,2,Speeding
2016-04-28,Night,Mizoram,Rainy,Rough,5,Driver Fatigue
2023-11-29,Afternoon,Sikkim,Rainy,Under Construction,6,Reckless Driving
2019-02-14,Night,Madhya Pradesh,Rainy,Fine,10,Speeding
2007-12-09,Night,Uttar Pradesh,Foggy,Fine,2,Drunk Driving
2023-12-23,Afternoon,Punjab,Clear,Rough,2,Poor Visibility
2023-12-25,Afternoon,Rajasthan,Rainy,Rough,6,Reckless Driving
2018-09-17,Night,Tamil Nadu,Foggy,Under Construction,10,Mechanical Failure
2005-06-15,Afternoon,Andhra Pradesh,Foggy,Fine,10,Reckless Driving
2010-04-30,Morning,Haryana,Rainy,Under Construction,5,Reckless Driving
2005-03-23,Morning,Meghalaya,Foggy,Fine,6,Poor Visibility
2005-08-31,Morning,Telangana,Rainy,Fine,10,Poor Visibility
2018-07-25,Night,Arunachal Pradesh,Rainy,Fine,3,Drunk Driving
2002-08-28,Afternoon,Bihar,Rainy,Under Construction,1,Road Conditions
2015-01-08,Evening,Punjab,Clear,Under Construction,4,Distracted Driving
2019-02-18,Night,Karnataka,Rainy,Rough,8,Reckless Driving
2000-11-09,Night,Madhya Pradesh,Rainy,Rough,1,Drunk Driving
2002-03-20,Evening,Goa,Foggy,Fine,2,Road Conditions
2011-04-15,Afternoon,Goa,Rainy,Fine,10,Mechanical Failure
2002-01-30,Evening,Odisha,Rainy,Fine,3,Weather Conditions
2006-09-08,Afternoon,Assam,Rainy,Fine,9,Road Conditions
2023-06-30,Morning,Sikkim,Foggy,Rough,9,Mechanical Failure
2017-10-27,Evening,Meghalaya,Clear,Fine,10,Mechanical Failure
2023-07-14,Night,Assam,Foggy,Rough,3,Speeding
2018-03-14,Afternoon,Haryana,Foggy,Rough,3,Weather Conditions
2022-03-29,Afternoon,Assam,Clear,Under Construction,3,Speeding
2007-12-18,Night,Karnataka,Clear,Fine,4,Distracted Driving
2017-11-16,Evening,Kerala,Foggy,Under Construction,3,Mechanical Failure
2004-06-07,Evening,Meghalaya,Foggy,Fine,8,Distracted Driving
2005-01-21,Morning,Chhattisgarh,Foggy,Under Construction,4,Speeding
2016-02-17,Night,Madhya Pradesh,Clear,Under Construction,0,Speeding
2022-01-06,Night,Arunachal Pradesh,Clear,Fine,6,Reckless Driving
2007-05-11,Evening,Manipur,Foggy,Fine,6,Driver Fatigue
2020-01-29,Night,Telangana,Clear,Under Construction,3,Driver Fatigue
2017-09-15,Night,Tripura,Foggy,Fine,3,Distracted Driving
2018-12-10,Night,Jharkhand,Rainy,Fine,6,Drunk Driving
2003-09-08,Afternoon,Uttar Pradesh,Rainy,Rough,0,Drunk Driving
2008-12-15,Night,Assam,Rainy,Rough,5,Drunk Driving
2008-04-13,Afternoon,Rajasthan,Clear,Under Construction,4,Distracted Driving
2000-11-24,Afternoon,Nagaland,Foggy,Rough,9,Distracted Driving
2021-05-14,Morning,Sikkim,Rainy,Fine,0,Road Conditions
